"LongName","atlantis_fmsy","b_fmsy","depletion","fidx"
"Arrowtooth flounder",0.172320773447816,725621.08299956,0.386751871176633,5
"Pacific cod",0.253324332971128,649855.1464,0.379233754988023,4
"Deep-water flatfish",0.0714838161299911,58616.7513542492,0.275946543784604,4
"Shallow-water flatfish",0.247232543491205,149186.024395108,0.32182516022518,6
"Flathead sole",0.234422671767374,66498.802434514,0.298313255466462,6
"Pacific halibut",0.115180702846803,356877.03292955,0.443708334892339,4
"Walleye pollock",0.318542280468087,447518.451752,0.296212623268497,6
"Pacific Ocean Perch",0.108786271987237,49515.354556751,0.309655335470411,5
"Rex sole",0.200014690039416,74481.973983676,0.265260991388459,4
"Rockfish - pelagic shelf assemblage",0.0967966667240872,13584.3620437328,0.298003601996408,5
"Rockfish - slope assemblage",0.0770932981887274,137082.384489593,0.288391950400415,7
"Sablefish",0.127079799820028,95459.339166449,0.343731867932528,7
